,ISBN,address,booktitle,doi,journal,language,month,note,number,pages,publisher,title,url,volume,year,clean,title_Arxiv,pdf_url_Arxiv,published_Arxiv,result_Arxiv,idv1,Arxiv_name,id,version,Anth_name,Succes,w_Anth,w_Arxiv,pages_Anth,pages_Arxiv,cosine,ref_Anth,ref_Arxiv,Jaccard,cosine_avg
0,,"Online and Punta Cana, Dominican Republic",Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2021.emnlp-main.606,,,November,,,7676--7682,Association for Computational Linguistics,A Secure and Efficient Federated Learning Framework for NLP,https://aclanthology.org/2021.emnlp-main.606,,2021,A Secure and Efficient Federated Learning Framework for NLP,A Secure and Efficient Federated Learning Framework for NLP,http://arxiv.org/pdf/2201.11934v1,2022-01-28 05:01:25+00:00,http://arxiv.org/abs/2201.11934v1,2201.11934v1,2201.11934v1.A_Secure_and_Efficient_Federated_Learning_Framework_for_NLP.pdf,2201.11934v1,1,Anth-A Secure and Efficient Federated Learning Framework for NLP.pdf,1.0,4435.0,4416.0,7.0,7.0,,37.0,32.0,0.9858934169278997,0.931972
1,,Online,Proceedings of the 15th International Workshop on Semantic Evaluation (SemEval-2021),10.18653/v1/2021.semeval-1.28,,,August,,,243--248,Association for Computational Linguistics,UoB at SemEval-2021 Task 5: Extending Pre-Trained Language Models to Include Task and Domain-Specific Information for Toxic Span Prediction,https://aclanthology.org/2021.semeval-1.28,,2021,UoB at SemEval 2021 Task 5  Extending Pre Trained Language Models to Include Task and Domain Specific Information for Toxic Span Prediction,UoB at SemEval-2021 Task 5: Extending Pre-Trained Language Models to Include Task and Domain-Specific Information for Toxic Span Prediction,http://arxiv.org/pdf/2110.03730v1,2021-10-07 18:29:06+00:00,http://arxiv.org/abs/2110.03730v1,2110.03730v1,2110.03730v1.UoB_at_SemEval_2021_Task_5_Extending_Pre_Trained_Language_Models_to_Include_Task_and_Domain_Specific_Information_for_Toxic_Span_Prediction.pdf,2110.03730v1,1,,1.0,3244.0,3291.0,6.0,6.0,,28.0,23.0,0.9297553275453828,0.804503
2,,"Punta Cana, Dominican Republic",Proceedings of the Third Workshop on Economics and Natural Language Processing,10.18653/v1/2021.econlp-1.7,,,November,,,50--55,Association for Computational Linguistics,Privacy enabled Financial Text Classification using Differential Privacy and Federated Learning,https://aclanthology.org/2021.econlp-1.7,,2021,Privacy enabled Financial Text Classification using Differential Privacy and Federated Learning,Privacy enabled Financial Text Classification using Differential Privacy and Federated Learning,http://arxiv.org/pdf/2110.01643v1,2021-10-04 18:15:32+00:00,http://arxiv.org/abs/2110.01643v1,2110.01643v1,2110.01643v1.Privacy_enabled_Financial_Text_Classification_using_Differential_Privacy_and_Federated_Learning.pdf,2110.01643v1,1,Anth-Privacy enabled Financial Text Classification using Differential Privacy and Federated Learning.pdf,1.0,3773.0,3747.0,6.0,6.0,,44.0,37.0,0.9878962536023055,0.881075
3,,Online,Proceedings of the The 19th Annual Workshop of the Australasian Language Technology Association,,,,December,,,158--162,Australasian Language Technology Association,Does QA-based intermediate training help fine-tuning language models for text classification?,https://aclanthology.org/2021.alta-1.16,,2021,Does QA based intermediate training help fine tuning language models for text classification ,Does QA-based intermediate training help fine-tuning language models for text classification?,http://arxiv.org/pdf/2112.15051v1,2021-12-30 13:30:25+00:00,http://arxiv.org/abs/2112.15051v1,2112.15051v1,2112.15051v1.Does_QA_based_intermediate_training_help_fine_tuning_language_models_for_text_classification.pdf,2112.15051v1,1,,1.0,3266.0,3265.0,5.0,5.0,,30.0,30.0,0.9545454545454546,0.952199
4,,"Online and Punta Cana, Dominican Republic",Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2021.emnlp-main.28,,,November,,,325--344,Association for Computational Linguistics,How Does Counterfactually Augmented Data Impact Models for Social Computing Constructs?,https://aclanthology.org/2021.emnlp-main.28,,2021,How Does Counterfactually Augmented Data Impact Models for Social Computing Constructs ,How Does Counterfactually Augmented Data Impact Models for Social Computing Constructs?,http://arxiv.org/pdf/2109.07022v1,2021-09-14 23:46:39+00:00,http://arxiv.org/abs/2109.07022v1,2109.07022v1,2109.07022v1.How_Does_Counterfactually_Augmented_Data_Impact_Models_for_Social_Computing_Constructs.pdf,2109.07022v1,1,,1.0,11612.0,11570.0,20.0,20.0,,92.0,80.0,0.9932921921116179,0.982506
5,,"Online and Punta Cana, Dominican Republic",Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing: System Demonstrations,10.18653/v1/2021.emnlp-demo.12,,,November,,,96--105,Association for Computational Linguistics,LMdiff: A Visual Diff Tool to Compare Language Models,https://aclanthology.org/2021.emnlp-demo.12,,2021,LMdiff  A Visual Diff Tool to Compare Language Models,LMdiff: A Visual Diff Tool to Compare Language Models,http://arxiv.org/pdf/2111.01582v1,2021-11-02 13:17:20+00:00,http://arxiv.org/abs/2111.01582v1,2111.01582v1,2111.01582v1.LMdiff_A_Visual_Diff_Tool_to_Compare_Language_Models.pdf,2111.01582v1,1,,1.0,5454.0,5421.0,10.0,10.0,,55.0,43.0,0.9908214777420835,0.932778
6,,"Online and Punta Cana, Dominican Republic",Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2021.emnlp-main.500,,,November,,,6193--6209,Association for Computational Linguistics,BiSECT: Learning to Split and Rephrase Sentences with Bitexts,https://aclanthology.org/2021.emnlp-main.500,,2021,BiSECT  Learning to Split and Rephrase Sentences with Bitexts,BiSECT: Learning to Split and Rephrase Sentences with Bitexts,http://arxiv.org/pdf/2109.05006v1,2021-09-10 17:30:14+00:00,http://arxiv.org/abs/2109.05006v1,2109.05006v1,2109.05006v1.BiSECT_Learning_to_Split_and_Rephrase_Sentences_with_Bitexts.pdf,2109.05006v1,1,,1.0,9611.0,9572.0,17.0,17.0,,61.0,55.0,0.9925830377297646,0.965634
7,,"Online and Punta Cana, Dominican Republic",Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2021.emnlp-main.192,,,November,,,2481--2491,Association for Computational Linguistics,FLiText: A Faster and Lighter Semi-Supervised Text Classification with Convolution Networks,https://aclanthology.org/2021.emnlp-main.192,,2021,FLiText  A Faster and Lighter Semi Supervised Text Classification with Convolution Networks,FLiText: A Faster and Lighter Semi-Supervised Text Classification with Convolution Networks,http://arxiv.org/pdf/2110.11869v1,2021-09-12 09:05:35+00:00,http://arxiv.org/abs/2110.11869v1,2110.11869v1,2110.11869v1.FLiText_A_Faster_and_Lighter_Semi_Supervised_Text_Classification_with_Convolution_Networks.pdf,2110.11869v1,1,,1.0,6544.0,6520.0,11.0,11.0,,46.0,46.0,0.98014440433213,0.950455
8,,Online,Proceedings of the 25th Conference on Computational Natural Language Learning,10.18653/v1/2021.conll-1.29,,,November,,,367--379,Association for Computational Linguistics,Pragmatic competence of pre-trained language models through the lens of discourse connectives,https://aclanthology.org/2021.conll-1.29,,2021,Pragmatic competence of pre trained language models through the lens of discourse connectives,Pragmatic competence of pre-trained language models through the lens of discourse connectives,http://arxiv.org/pdf/2109.12951v1,2021-09-27 11:04:41+00:00,http://arxiv.org/abs/2109.12951v1,2109.12951v1,2109.12951v1.Pragmatic_competence_of_pre_trained_language_models_through_the_lens_of_discourse_connectives.pdf,2109.12951v1,1,Anth-Pragmatic competence of pre-trained language models through the lens of discourse connectives.pdf,1.0,7275.0,7241.0,13.0,13.0,,35.0,25.0,0.9916921731526016,0.967296
9,,"Online and Punta Cana, Dominican Republic",Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2021.emnlp-main.451,,,November,,,5555--5577,Association for Computational Linguistics,The Stem Cell Hypothesis: Dilemma behind Multi-Task Learning with Transformer Encoders,https://aclanthology.org/2021.emnlp-main.451,,2021,The Stem Cell Hypothesis  Dilemma behind Multi Task Learning with Transformer Encoders,The Stem Cell Hypothesis: Dilemma behind Multi-Task Learning with Transformer Encoders,http://arxiv.org/pdf/2109.06939v1,2021-09-14 19:32:11+00:00,http://arxiv.org/abs/2109.06939v1,2109.06939v1,2109.06939v1.The_Stem_Cell_Hypothesis_Dilemma_behind_Multi_Task_Learning_with_Transformer_Encoders.pdf,2109.06939v1,1,,1.0,11612.0,11567.0,23.0,23.0,,63.0,51.0,0.9925760950259837,0.980736
10,,Online,Proceedings of the 3rd Workshop on Natural Language Processing for Conversational AI,10.18653/v1/2021.nlp4convai-1.9,,,November,,,93--101,Association for Computational Linguistics,What Went Wrong? Explaining Overall Dialogue Quality through Utterance-Level Impacts,https://aclanthology.org/2021.nlp4convai-1.9,,2021,What Went Wrong  Explaining Overall Dialogue Quality through Utterance Level Impacts,What Went Wrong? Explaining Overall Dialogue Quality through Utterance-Level Impacts,http://arxiv.org/pdf/2111.00572v1,2021-10-31 19:12:29+00:00,http://arxiv.org/abs/2111.00572v1,2111.00572v1,2111.00572v1.What_Went_Wrong_Explaining_Overall_Dialogue_Quality_through_Utterance_Level_Impacts.pdf,2111.00572v1,1,,1.0,5667.0,5446.0,9.0,9.0,,16.0,11.0,0.9432336543335023,0.821953
11,,"Online and Punta Cana, Dominican Republic",Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,10.18653/v1/2021.emnlp-main.297,,,November,,,3661--3672,Association for Computational Linguistics,"Phrase Retrieval Learns Passage Retrieval, Too",https://aclanthology.org/2021.emnlp-main.297,,2021,"Phrase Retrieval Learns Passage Retrieval, Too","Phrase Retrieval Learns Passage Retrieval, Too",http://arxiv.org/pdf/2109.08133v1,2021-09-16 17:42:45+00:00,http://arxiv.org/abs/2109.08133v1,2109.08133v1,2109.08133v1.Phrase_Retrieval_Learns_Passage_Retrieval_Too.pdf,2109.08133v1,1,"Anth-Phrase Retrieval Learns Passage Retrieval, Too.pdf",1.0,7480.0,7446.0,12.0,12.0,,70.0,57.0,0.9932432432432432,0.958553
